
% @ CAY Data: 1951Q4 - 2009Q1
% http://www.econ.nyu.edu/user/ludvigsons/
% 
% Log, real, per capita data.  See the appendix of 
% "Understanding Trend and Cycle in Asset Values: Reevaluating the Wealth Effect on Consumption" NBER WP #9848
% paper for a detailed data description.  The data are updated based on 
% "Consumption, Aggregate Wealth, and Expected Stock Returns" Journal of Finance, June 2001.
% 
% NOTE: 
%  
%  - The asset wealth variable in this file is measured at the END-OF-PERIOD, 
%  e.g. the observation in 1952Q4 is wealth as of December 31 1952.
%  
%  - The DLS procedure used to estimate the cointegration coefficients includes 8 leads and lags.
%  
%  - In 2003, the BEA undertook comprehensive revisions of all NIPA data series. This resulted in 
%    a number of changes of data classification and data measurement, see 
%    http://faculty.haas.berkeley.edu/lettau/data/Data_Revision_2003.txt for more details.
% 
% 
% 
%date       c		   a               y              cay=c - 0.1969 a - 0.6830 y (demeaned) @
 195201    9.01975865844  10.61793648031  8.72464232872  -0.004033244333
 195202    9.03295816350  10.63138725829  8.72683665092   0.005019704225
 195203    9.04169433898  10.62930056767  8.73984091947   0.005284782482
 195204    9.05027669554  10.62352931422  8.76815047775  -0.004332097173
 195301    9.06009301805  10.62258578265  8.78114877830  -0.003207831411
 195302    9.06254183636  10.61622880142  8.79307770582  -0.007655031497
 195303    9.05833984771  10.61589789685  8.78512065495  -0.006357241625
 195304    9.05218331632  10.62007412897  8.77241689654  -0.004659258189
 195401    9.05671146135  10.62789450455  8.76164448143   0.005686935912
 195402    9.06012534776  10.64039711579  8.76041567182   0.007478903744
 195403    9.07208162712  10.66662354946  8.76344055375   0.012206415859
 195404    9.08038346995  10.67540645392  8.78324245506   0.005254676235
 195501    9.08707359994  10.68265312707  8.79065400776   0.005456203107
 195502    9.09382651603  10.70383812095  8.81307596385  -0.007275354934
 195503    9.09967296069  10.72296942972  8.82953082671  -0.016433603594
 195504    9.11439848238  10.72837544140  8.84048849795  -0.010256329960
 195601    9.12130652914  10.74911340111  8.84677987878  -0.011727628975
 195602    9.12087331668  10.74257522595  8.85494344177  -0.016449459929
 195603    9.12150968267  10.73812737130  8.85431507626  -0.014508343640
 195604    9.12835068754  10.74878749422  8.86584577501  -0.017641256439
 195701    9.13071713026  10.73975230418  8.86496993216  -0.012898001077
 195702    9.13394036023  10.75070420171  8.86545356588  -0.012161018146
 195703    9.13907449000  10.73244868982  8.86409526184  -0.002505497453
 195704    9.14017781568  10.72592179940  8.85542149262   0.005806828677
 195801    9.13137981203  10.72986759865  8.83305920218   0.011505445929
 195802    9.13828581001  10.73943207955  8.83516187880   0.015092514874
 195803    9.14848994207  10.76696545485  8.85848732884   0.003945384060
 195804    9.15217940812  10.78062310198  8.86899662752  -0.002231529985
 195901    9.15961544256  10.77933721375  8.87383759869   0.002151270165
 195902    9.16799947657  10.78854866696  8.89063884580  -0.002753203333
 195903    9.17536462452  10.78552591233  8.88321766402   0.010275628324
 195904    9.18048764564  10.79382569010  8.88541438431   0.012264451005
 196001    9.17802779608  10.78583002993  8.89258049668   0.006484150337
 196002    9.18552857078  10.79008848487  8.89425324137   0.012004151452
 196003    9.17912856999  10.77224691637  8.89035319316   0.011780057690
 196004    9.18092481280  10.79151238103  8.88368632441   0.014337261749
 196101    9.18529244972  10.81529872986  8.88731625652   0.011543225125
 196102    9.19590811152  10.82326717355  8.89972977891   0.012111872044
 196103    9.19324811235  10.83081345905  8.90832681313   0.002094609987
 196104    9.20369000214  10.85089976393  8.92175659060  -0.000590065543
 196201    9.20943103902  10.84974894832  8.92954107457   0.000060738247
 196202    9.21590847361  10.79361747985  8.93772872386   0.011995750797
 196203    9.22055125885  10.80433277084  8.93872229566   0.013850580020
 196204    9.22617349199  10.84866542252  8.94239022407   0.008240562583
 196301    9.22808574185  10.86402459472  8.94872970689   0.002799449999
 196302    9.23261551585  10.87533653666  8.95562951118   0.000389878121
 196303    9.24219698374  10.88261442428  8.96225896902   0.004010766320
 196304    9.24707990253  10.87138234913  8.97359014438   0.003365612039
 196401    9.25840102683  10.88340969699  8.99161503378   0.000008164685
 196402    9.27052346795  10.89953922317  9.01510198044  -0.007086063277
 196403    9.28285980077  10.90925649460  9.02528259958  -0.003615944096
 196404    9.28777995306  10.91988163983  9.03250407104  -0.005719636454
 196501    9.29644559796  10.92992033086  9.04056998190  -0.004539139462
 196502    9.30771349186  10.92053255212  9.04736341063   0.003936889348
 196503    9.31790959472  10.94301361228  9.07317975095  -0.007924970829
 196504    9.33890670977  10.96797328609  9.09126662896  -0.004194547924
 196601    9.34416508067  10.95736023754  9.09372173619   0.001476216147
 196602    9.35255904046  10.95790532665  9.10136419605   0.004543098870
 196603    9.35696206494  10.93093875507  9.11538090112   0.004681244131
 196604    9.36003498806  10.95396945215  9.12746172664  -0.005030684417
 196701    9.36848484787  10.98766629892  9.13962978308  -0.011524930892
 196702    9.37448406799  10.99376592460  9.14605214743  -0.011112900528
 196703    9.37943270475  11.01079395499  9.15360721367  -0.014676387255
 196704    9.38450361801  11.02535301678  9.16385477992  -0.019470538987
 196801    9.39859473485  11.01221411309  9.18071730996  -0.014310024388
 196802    9.41144721875  11.04684702405  9.19735693333  -0.019639979869
 196803    9.42273728512  11.05081010838  9.19847210576  -0.009891722204
 196804    9.42778629132  11.08870944752  9.20545643207  -0.017073630527
 196901    9.43561847634  11.07909745101  9.20501872341  -0.007050330244
 196902    9.44177028193  11.06279728485  9.21335390561  -0.003382669712
 196903    9.44505665096  11.05148829358  9.23305708874  -0.011327285203
 196904    9.45346055101  11.03873736452  9.23944381096  -0.004775420875
